affinity_score,confidence,enrichment,ligand,n_boltz2_models,site_id,site_rank,stoichiometry
0.3688,0.77,0.479,O-ETHYL,0,3,22,2to3
0.3664,0.765,0.479,O-ETHYL,0,18,10,3to2
0.3581,0.77,0.465,ACETATE,0,25,9,2to3
0.3134,0.77,0.407,L-ASC,0,22,13,3to2
0.3007,0.767,0.392,L-ASC,0,21,4,2to3
0.2564,0.77,0.333,L-ASC,0,13,14,3to2
0.2318,0.76,0.305,L-ASC,0,18,10,3to2
0.2241,0.757,0.296,ACETATE,1,23,1,2to3
0.2082,0.76,0.274,O-ETHYL,0,7,5,2to3
0.2063,0.753,0.274,D-ASC,1,34,3,2to3
0.189,0.75,0.252,D-ASC,0,35,6,3to2
0.1718,0.75,0.229,L-ASC,0,38,12,3to2
0.1387,0.758,0.183,L-ASC,0,34,3,2to3
0.1395,0.775,0.18,ACETATE,0,34,3,2to3
0.1016,0.77,0.132,RYANODINE,0,23,1,2to3
0.0959,0.767,0.125,O-ETHYL,0,5,2,3to2
