site_id,rank,composite_score,evidence_score,classification,evidence_pocket_consensus,evidence_af3_convergence,evidence_boltz2_convergence,evidence_docking_consensus,evidence_sar_explanation,evidence_boltz2_affinity,evidence_acetate_discrimination,evidence_stereochemical_discrimination,evidence_chemical_perturbation,evidence_electrostatic_analysis,evidence_ensemble_robustness,evidence_residue_consensus,evidence_subtype_comparison
21,4,0.3838,0.535,INTERMEDIATE,0.0,0.33,0.042,1.0,1.0,0.67,0.5,0.0,1.0,0.5,1.0,1.0,0.2
22,13,0.2972,0.4375,LOW_CONFIDENCE,0.0,0.072,0.168,0.4,1.0,0.488,1.0,0.0,0.0,0.5,0.4,1.0,0.4
23,1,0.5066,0.6272,INTERMEDIATE,0.0,0.144,1.0,1.0,0.902,0.27,1.0,0.0,0.666,0.5,1.0,1.0,0.8
24,33,0.1995,0.3826,LOW_CONFIDENCE,0.0,0.039,0.0,0.16,1.0,0.576,1.0,0.0,0.0,0.5,0.16,1.0,0.2
25,9,0.3307,0.4513,LOW_CONFIDENCE,0.0,0.129,0.459,0.88,1.0,0.33,0.0,0.0,0.5,0.5,0.88,1.0,0.4
26,11,0.3174,0.41,LOW_CONFIDENCE,0.0,0.12,0.168,0.72,1.0,0.374,0.0,0.0,0.0,0.5,0.72,1.0,0.8
27,20,0.2715,0.3826,LOW_CONFIDENCE,0.0,0.039,0.0,0.16,1.0,0.576,1.0,0.0,0.0,0.5,0.16,1.0,0.2
28,44,0.1222,0.3334,LOW_CONFIDENCE,0.0,0.021,0.0,0.08,1.0,0.576,1.0,0.0,0.0,0.5,0.08,0.4,0.2
29,40,0.1261,0.2919,REJECTED,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.8,0.2
30,28,0.2334,0.3602,LOW_CONFIDENCE,0.0,0.009,0.042,0.08,1.0,0.366,1.0,0.0,0.0,0.5,0.08,1.0,0.2
31,16,0.275,0.3023,LOW_CONFIDENCE,0.0,0.021,0.084,0.16,1.0,0.48,0.0,0.0,0.0,0.5,0.16,1.0,0.4
32,17,0.2731,0.2561,REJECTED,0.0,0.06,0.0,0.08,1.0,1.0,0.0,0.0,0.0,0.5,0.08,0.2,0.2
33,18,0.2731,0.2561,REJECTED,0.0,0.06,0.0,0.08,1.0,1.0,0.0,0.0,0.0,0.5,0.08,0.2,0.2
34,3,0.4173,0.4767,LOW_CONFIDENCE,0.0,0.741,0.042,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.2
35,6,0.3473,0.3966,LOW_CONFIDENCE,0.0,0.264,0.111,1.0,1.0,0.416,0.0,0.0,0.0,0.5,1.0,0.8,0.2
36,36,0.1611,0.3498,LOW_CONFIDENCE,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.8
37,21,0.2715,0.3323,LOW_CONFIDENCE,0.0,0.039,0.0,0.16,1.0,0.576,1.0,0.0,0.0,0.5,0.16,0.2,0.2
38,12,0.3047,0.3947,LOW_CONFIDENCE,0.0,0.096,0.111,0.96,1.0,0.468,0.0,0.0,0.0,0.5,0.96,1.0,0.2
39,46,0.1085,0.3285,LOW_CONFIDENCE,0.0,0.063,0.0,0.16,1.0,0.488,1.0,0.0,0.0,0.5,0.16,0.2,0.2
40,15,0.2822,0.3933,LOW_CONFIDENCE,0.0,0.081,0.0,0.32,1.0,0.576,1.0,0.0,0.0,0.5,0.32,0.8,0.2
41,41,0.1261,0.2793,REJECTED,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.6,0.2
42,42,0.1261,0.2542,REJECTED,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.2,0.2
43,35,0.1722,0.3622,LOW_CONFIDENCE,0.0,0.0,0.333,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.8
44,37,0.1411,0.2819,REJECTED,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.4,0.4
45,27,0.2431,0.2561,REJECTED,0.0,0.06,0.0,0.08,1.0,1.0,0.0,0.0,0.0,0.5,0.08,0.2,0.2
46,43,0.1261,0.2668,REJECTED,0.0,0.0,0.168,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.4,0.2
